code,label,type
T94a,E-buurt,buurt
T94b,G-buurt West,buurt
T94c,Bijlmermuseum Noord,buurt
T94d,Kortvoort,buurt
T94e,Kelbergen,buurt
T94f,K-buurt Midden,buurt
T94g,K-buurt Zuidoost,buurt
T94h,K-buurt Zuidwest,buurt
T94i,Grunder/Koningshoef,buurt
T94j,G-buurt Oost,buurt
T94k,Kantershof,buurt
T94l,Gooise Kant,buurt
T94m,G-buurt Noord,buurt
T94n,Bijlmermuseum Zuid,buurt
T95,Nellestein,buurtcombinatie
T95a,L-buurt,buurt
T95b,Gaasperpark,buurt
T95c,Gaasperplas,buurt
T96,Holendrecht/Reigersbos,buurtcombinatie
T96a,Holendrecht Noordwest,buurt
T96b,Reigersbos Noord,buurt
T96c,Holendrecht Oost,buurt
T96d,Gaasperdam Noord,buurt
T96e,Gaasperdam Zuid,buurt
T96f,Reigersbos Midden,buurt
T96g,Reigersbos Zuid,buurt
T97,Gein,buurtcombinatie
T97a,Gein Noordwest,buurt
T97b,Gein Zuidwest,buurt
T97c,Gein Noordoost,buurt
T97d,Gein Zuidoost,buurt
T98,Driemond,buurtcombinatie
T98a,Dorp Driemond,buurt
T98b,Landelijk Gebied Driemond,buurt
