"name","city","link",
"GRID Grafisch Museum Groningen","Groningen","https://www.museumkaart.nl/museum/GRID+Grafisch+Museum+Groningen.aspx",
"Groninger Museum","Groningen","https://www.museumkaart.nl/museum/Groninger+Museum.aspx",
"Het Nederlands Stripmuseum","Groningen","https://www.museumkaart.nl/museum/Het+Nederlands+Stripmuseum.aspx",
"Noordelijk Scheepvaartmuseum","Groningen","https://www.museumkaart.nl/museum/Noordelijk+Scheepvaartmuseum.aspx",
"Universiteitsmuseum Groningen","Groningen","https://www.museumkaart.nl/museum/Universiteitsmuseum+Groningen.aspx",
"ABC Architectuurcentrum Haarlem","Haarlem","https://www.museumkaart.nl/museum/ABC+Architectuurcentrum+Haarlem.aspx",
"Dolhuys | museum van de geest","Haarlem","https://www.museumkaart.nl/museum/Dolhuys+%7c+museum+van+de+geest.aspx",
"Frans Hals Museum Hal","Haarlem","https://www.museumkaart.nl/museum/Frans+Hals+Museum+Hal.aspx",
"Frans Hals Museum Hof","Haarlem","https://www.museumkaart.nl/museum/Frans+Hals+Museum+Hof.aspx",
"Museum Haarlem","Haarlem","https://www.museumkaart.nl/museum/Museum+Haarlem.aspx",
"Teylers Museum","Haarlem","https://www.museumkaart.nl/museum/Teylers+Museum.aspx",
"Kasteel de Haar","Haarzuilens","https://www.museumkaart.nl/museum/Kasteel+de+Haar.aspx",
"Museum Paulina Bisdom van Vliet","Haastrecht","https://www.museumkaart.nl/museum/Museum+Paulina+Bisdom+van+Vliet+.aspx",
"Marius van Dokkum Museum","Harderwijk","https://www.museumkaart.nl/museum/Marius+van+Dokkum+Museum.aspx",
"Stadsmuseum Harderwijk","Harderwijk","https://www.museumkaart.nl/museum/Stadsmuseum+Harderwijk.aspx",
"De Koperen Knop","Hardinxveld-giessendam","https://www.museumkaart.nl/museum/De+Koperen+Knop.aspx",
"Openluchtmuseum en Themapark De Spitkeet","Harkema","https://www.museumkaart.nl/museum/Openluchtmuseum+en+Themapark+De+Spitkeet.aspx",
"Hannemahuis","Harlingen","https://www.museumkaart.nl/museum/Hannemahuis.aspx",
"Anton Pieck Museum","Hattem","https://www.museumkaart.nl/museum/Anton+Pieck+Museum.aspx",
"Nederlands Bakkerijmuseum","Hattem","https://www.museumkaart.nl/museum/Nederlands+Bakkerijmuseum.aspx",
"Voerman Museum","Hattem","https://www.museumkaart.nl/museum/Voerman+Museum.aspx",
"Heerenveen Museum","Heerenveen","https://www.museumkaart.nl/museum/Heerenveen+Museum+.aspx",
"Museum Belvédère","Heerenveen","https://www.museumkaart.nl/museum/Museum+Belv%c3%a9d%c3%a8re.aspx",
"SCHUNCK","Heerlen","https://www.museumkaart.nl/museum/SCHUNCK.aspx",
"Thermenmuseum","Heerlen","https://www.museumkaart.nl/museum/Thermenmuseum.aspx",
"Kasteel Heeswijk","Heeswijk-dinther","https://www.museumkaart.nl/museum/Kasteel+Heeswijk.aspx",
"Museumpark Orientalis","Heilig landstichting","https://www.museumkaart.nl/museum/Museumpark+Orientalis.aspx",
"Museum Hoeksche Waard","Heinenoord","https://www.museumkaart.nl/museum/Museum+Hoeksche+Waard.aspx",
"Kasteel Het Nijenhuis","Heino/wijhe","https://www.museumkaart.nl/museum/Kasteel+Het+Nijenhuis.aspx",
"Nationaal Brandweermuseum","Hellevoetsluis","https://www.museumkaart.nl/museum/Nationaal+Brandweermuseum.aspx",
"Museum Helmond","Helmond","https://www.museumkaart.nl/museum/Museum+Helmond.aspx",
"Museum Hengelo","Hengelo","https://www.museumkaart.nl/museum/Museum+Hengelo.aspx",
"Oyfo Techniekmuseum","Hengelo","https://www.museumkaart.nl/museum/Oyfo+Techniekmuseum.aspx",
"Kasteel Hernen","Hernen","https://www.museumkaart.nl/museum/Kasteel+Hernen.aspx",
"GeoFort","Herwijnen","https://www.museumkaart.nl/museum/GeoFort.aspx",
"Beeld en Geluid","Hilversum","https://www.museumkaart.nl/museum/Beeld+en+Geluid.aspx",
"Museum Hilversum","Hilversum","https://www.museumkaart.nl/museum/Museum+Hilversum.aspx",
"Museum Hindeloopen","Hindeloopen","https://www.museumkaart.nl/museum/Museum+Hindeloopen.aspx",
"Kasteel Hoensbroek","Hoensbroek","https://www.museumkaart.nl/museum/Kasteel+Hoensbroek.aspx",
"Cultuur-Historisch Museum Sorgdrager","Hollum-ameland","https://www.museumkaart.nl/museum/Cultuur-Historisch+Museum+Sorgdrager.aspx",
"Maritiem Centrum ""Abraham Fock""","Hollum-ameland","https://www.museumkaart.nl/museum/Maritiem+Centrum+%22Abraham+Fock%22.aspx",
"Westlands Museum","Honselersdijk","https://www.museumkaart.nl/museum/Westlands+Museum.aspx",
"Haarlemmermeermuseum Historisch Museum","Hoofddorp","https://www.museumkaart.nl/museum/Haarlemmermeermuseum+Historisch+Museum+.aspx",
"De Halve Maen","Hoorn","https://www.museumkaart.nl/museum/De+Halve+Maen.aspx",
"Museum van de 20e Eeuw","Hoorn","https://www.museumkaart.nl/museum/Museum+van+de+20e+Eeuw.aspx",
"Museumstoomtram Hoorn-Medemblik","Hoorn","https://www.museumkaart.nl/museum/Museumstoomtram+Hoorn-Medemblik.aspx",
"Westfries Museum","Hoorn","https://www.museumkaart.nl/museum/Westfries+Museum.aspx",
"Museum de Kantfabriek","Horst","https://www.museumkaart.nl/museum/Museum+de+Kantfabriek.aspx",
